,0,1,2,3,4,5,6,7,8,9
0,3189.0,610.0,29.0,7.0,1.0,1118.0,352.0,76.0,0.0,541.0
1,0.0,6417.0,10.0,69.0,0.0,66.0,108.0,7.0,0.0,65.0
2,83.0,1805.0,845.0,342.0,3.0,1870.0,492.0,483.0,1.0,34.0
3,41.0,2873.0,155.0,977.0,2.0,1451.0,208.0,297.0,4.0,123.0
4,277.0,387.0,882.0,725.0,125.0,1143.0,1221.0,288.0,1.0,793.0
5,109.0,872.0,161.0,128.0,19.0,2749.0,232.0,108.0,5.0,1038.0
6,217.0,808.0,99.0,106.0,14.0,527.0,3817.0,23.0,0.0,307.0
7,282.0,924.0,173.0,488.0,13.0,818.0,843.0,1954.0,55.0,715.0
8,42.0,1954.0,48.0,373.0,0.0,1716.0,397.0,265.0,2.0,1054.0
9,76.0,700.0,473.0,357.0,14.0,516.0,1239.0,207.0,5.0,2362.0
